,lyric,clean_lyric
153,"And you flashback to when he said, ""forever and always""",flashback forever
154,"Oh, and it rains in your bedroom",rains bedroom
155,Everything is wrong,wrong
156,It rains when you're here and it rains when you're gone,rains rains
157,"'Cause I was there when you said, ""forever and always""",forever
158,"You didn't mean it baby, I don't think so",baby
159,"Oh, back up, baby, back up",baby
160,Did you forget everything?,forget
161,"Back up, baby, back up",baby
162,Did you forget everything?,forget
163,'Cause it rains in your bedroom,rains bedroom
164,Everything is wrong,wrong
165,It rains when you're here and it rains when you're gone,rains rains
166,"'Cause I was there when you said, ""forever and always""",forever
167,"Oh, I stare at the phone, he still hasn't called",stare phone called
168,And then you feel so low you can't feel nothing at all,feel feel
169,"And you flashback to when we said, ""forever and always""",flashback forever
170,And it rains in your bedroom,rains bedroom
171,Everything is wrong,wrong
172,It rains when you're here and it rains when you're gone,rains rains
173,"'Cause I was there when you said, ""forever and always""",forever
174,You didn't mean it baby,baby
175,"You said, ""forever and always,"" yeah",forever
176,Untouchable like a distant diamond sky,untouchable distant diamond sky
177,I'm reaching out and I just can't tell you why,reaching
178,"I'm caught up in you, I'm caught up in you",caught caught
179,"Untouchable, burning brighter than the sun",untouchable burning brighter sun
180,"And when you're close, I feel like coming undone",close feel undone
181,In the middle of the night when I'm in this dream,middle night dream
182,It's like a million little stars spelling out your name,stars spelling
183,"You got to come on, come on, say that we'll be together",
184,"Come on, come on, little taste of heaven",taste heaven
185,It's half full and I won't wait here all day,half wait day
186,I know you're saying that you'd be here anyway,
187,"But you're untouchable, burning brighter than the sun",untouchable burning brighter sun
188,"And now that you're close, I feel like coming undone",close feel undone
189,In the middle of the night when I'm in this dream,middle night dream
190,It's like a million little stars spelling out your name,stars spelling
191,"You got to come on, come on, say that we'll be together",
192,"Come on, come on, oh",
193,In the middle of the night waking from this dream,middle night waking dream
194,"I want to feel you by my side, standing next to me",feel standing
195,"You got to come on, come on, say that we'll be together",
196,"Come on, come on, little taste of heaven",taste heaven
197,I'm caught up in you,caught
198,"Oh-oh, oh, oh-oh",
199,"But you're untouchable, burning brighter than the sun",untouchable burning brighter sun
200,"Now that you're close, I feel like coming undone",close feel undone
201,In the middle of the night when I'm in this dream,middle night dream
202,It's like a million little stars spelling out your name,stars spelling
203,"You got to come on, come on, say that we'll be together",
204,"Come on, come on, oh",
205,In the middle of the night when I'm in this dream,middle night dream
206,It's like a million little stars spelling out your name,stars spelling
207,"You got to come on, come on, say that we'll be together",
208,"Come on, come on, come on",
209,In the middle of the night waking from this dream,middle night waking dream
210,"I want to feel you by my side, standing next to me",feel standing
211,"You got to come on, come on, say that we'll be together",
212,"Come on, come on, little taste of heaven",taste heaven
213,"Oh, oh-oh-oh, oh-oh-oh, oh",ohohoh ohohoh
214,And in the middle of the night when I'm in this dream,middle night dream
215,It's like a million little stars spelling out your name,stars spelling
216,"You got to come on, come on, oh",
217,"Come on, come on",
218,"Come on, come on, oh, oh, oh",
219,It's like a million little stars spelling out your name,stars spelling
220,"They're spelling out your name, oh",spelling
221,Once upon a time,
222,I believe it was a Tuesday when I caught your eye,tuesday caught eye
223,And we caught onto something,caught
224,I hold on to the night,hold night
225,You looked me in the eye and told me you loved me,looked eye told loved
226,Were you just kidding?,kidding
227,'Cause it seems to me,
228,"This thing is breaking down, we almost never speak",breaking speak
229,I don't feel welcome anymore,feel
230,"What happened? Please, tell me",happened
231,'Cause one second it was perfect,perfect
232,Now you're halfway out the door,halfway door
233,"And I stare at the phone, he still hasn't called",stare phone called
234,And then you feel so low you can't feel nothing at all,feel feel
235,"And you flashback to when he said, ""Forever and always""",flashback forever
236,And it rains in your bedroom,rains bedroom
237,Everything is wrong,wrong
238,It rains when you're here and it rains when you're gone,rains rains
239,"I was there when you said, ""Forever and always""",forever
240,Was I out of line?,
241,"Did I say something way too honest, made you run and hide",honest hide
242,Like a scared little boy?,scared boy
243,I looked into your eyes,looked eyes
244,"Thought I knew you for a minute, now I'm not so sure",thought knew minute
245,So here's to everything coming down to nothing,
246,Here's to silence that cuts me to the core,silence cuts core
247,Where is this going?,
248,"Thought I knew for a minute, but I don't anymore",thought knew minute
249,"And I stare at the phone, he still hasn't called",stare phone called
250,And then you feel so low you can't feel nothing at all,feel feel
251,"You flashback to when he said, ""Forever and always""",flashback forever
252,"Oh, and it rains in your bedroom",rains bedroom
253,Everything is wrong,wrong
254,It rains when you're here and it rains when you're gone,rains rains
255,"I was there when you said, ""Forever and always""",forever
256,"You didn't mean it baby, I don't think so",baby
257,"Oh, oh-oh, oh-oh-oh",ohohoh
258,"Oh-oh, oh-oh-oh",ohohoh
259,"Back up, baby, back up",baby
260,Did you forget everythi-i-ing?,forget everythiiing
261,"Back up, baby, back up",baby
262,Did you forget everythi-i-ing?,forget everythiiing
263,"Back up, baby, back up",baby
264,"Please, back up, oh, back up",
265,"Back up, baby, back up",baby
266,'Cause it rains in your bedroom,rains bedroom
267,Everything is wrong,wrong
268,It rains when you're here and it rains when you're gone,rains rains
269,"I was there when you said, ""Forever and always""",forever
270,"And I stare at the phone, he still hasn't called",stare phone called
271,And then you feel so low you can't feel nothing at all,feel feel
272,You flashback to when we said forever and always,flashback forever
273,And it rains in your bedroom,rains bedroom
274,Everything is wrong,wrong
275,It rains when you're here and it rains when you're gone,rains rains
276,"I was there when you said, ""Forever and always""",forever
277,You didn't mean it baby,baby
278,"You said, ""Forever and always,"" yeah",forever
279,I could go back to every laugh,laugh
280,But I don't wanna go there anymore,
281,And I know all the steps up to your door,steps door
282,But I don't wanna go there anymore,
283,"Talk to the wind, talk to the sky",talk wind talk sky
284,Talk to the man with the reasons why,talk reasons
285,And let me know what you find,find
286,I'll leave my window open,leave window open
287,'Cause I'm too tired at night to call your name,tired night
288,Just know I'm right here hoping,hoping
289,That you'll come in with the rain,rain
290,I could stand up and sing you a song,stand song
291,But I don't wanna have to go that far,
292,"And I, I've got you down, I know you by heart",heart
293,And you don't even know where I start,start
294,"Talk to yourself, talk to the tears",talk talk tears
295,Talk to the man who put you here,talk
296,And don't wait for the sky to clear,wait sky
297,I'll leave my window open,leave window open
298,"'Cause I'm too tired at night to call your name, oh",tired night
299,Just know I'm right here hoping,hoping
300,That you'll come in with the rain,rain
301,"I've watched you so long, screamed your name",watched screamed
302,I don't know what else I can say,
303,I'll leave my window open,leave window open
304,'Cause I'm too tired at night for all these games,tired night games
305,Just know I'm right here hoping,hoping
306,That you'll come in with the rain,rain
307,I could go back to every laugh,laugh
308,But I don't wanna go there anymore,
309,"You said, ""I know""",
310,"When I said, ""I need some time, need some space",space
311,"To think about all of this""",
312,You watched me go,watched
313,And I knew my,knew
314,Words were hard to hear,hear
315,And harder to ever take back,harder
316,"And I said, ""When can I-I-I come back?""",
317,And you said that's when,
