,lyric,clean_lyric
704,It's like I got this music in my mind,music mind
705,Sayin' it's gonna be alright,alright
706,"'Cause the players gonna play, play, play, play, play",players play play play play play
707,"And the haters gonna hate, hate, hate, hate, hate",haters
708,"Baby, I'm just gonna shake, shake, shake, shake, shake",baby shake shake shake shake shake
709,"I shake it off, I shake it off",shake shake
710,"Heartbreakers gonna break, break, break, break, break",heartbreakers break break break break break
711,"And the fakers gonna fake, fake, fake, fake, fake",fakers fake fake fake fake fake
712,"Baby, I'm just gonna shake, shake, shake, shake, shake",baby shake shake shake shake shake
713,"I shake it off, I shake it off",shake shake
714,I never miss a beat,beat
715,I'm lightnin' on my feet,lightnin feet
716,"And that's what they don't see, mmm-mmm",
717,"That's what they don't see, mmm-mmm",
718,I'm dancin' on my own (Dancin' on my own),dancin dancin
719,I make the moves up as I go (Moves up as I go),moves moves
720,"And that's what they don't know, mmm-mmm",
721,"That's what they don't know, mmm-mmm",
722,But I keep cruisin',cruisin
723,"Can't stop, won't stop groovin'",groovin
724,It's like I got this music in my mind,music mind
725,Sayin' it's gonna be alright,alright
726,"'Cause the players gonna play, play, play, play, play",players play play play play play
727,"And the haters gonna hate, hate, hate, hate, hate",haters
728,"Baby, I'm just gonna shake, shake, shake, shake, shake",baby shake shake shake shake shake
729,"I shake it off, I shake it off",shake shake
730,"Heartbreakers gonna break, break, break, break, break",heartbreakers break break break break break
731,"And the fakers gonna fake, fake, fake, fake, fake",fakers fake fake fake fake fake
732,"Baby, I'm just gonna shake, shake, shake, shake, shake",baby shake shake shake shake shake
733,"I shake it off, I shake it off",shake shake
734,"Shake it off, I shake it off",shake shake
735,"I, I, I shake it off, I shake it off",shake shake
736,"I, I, I shake it off, I shake it off",shake shake
737,"I, I, I shake it off, I shake it off",shake shake
738,"Hey, hey, hey",
739,"Just think, while you've been gettin' down and out about the liars",liars
740,"And the dirty, dirty cheats of the world",dirty dirty cheats
741,You could've been gettin' down,couldve
742,To this sick beat,sick beat
743,My ex-man brought his new girlfriend,exman brought girlfriend
744,"She's like, ""Oh my God!"" But I'm just gonna shake",god shake
745,And to the fella over there with the hella good hair,fella hella good hair
746,"Won't you come on over, baby?",baby
747,"We can shake, shake, shake",shake shake shake
748,"Yeah, oh, oh, oh",
749,"'Cause the players gonna play, play, play, play, play",players play play play play play
750,"And the haters gonna hate, hate, hate, hate, hate",haters
751,(Haters gonna hate),haters
752,"Baby, I'm just gonna shake, shake, shake, shake, shake",baby shake shake shake shake shake
753,"I shake it off, I shake it off",shake shake
754,"Heartbreakers gonna break, break, break, break, break (Mmm)",heartbreakers break break break break break
755,"And the fakers gonna fake, fake, fake, fake, fake",fakers fake fake fake fake fake
756,"(And fake, and fake, and fake)",fake fake fake
757,"Baby, I'm just gonna shake, shake, shake, shake, shake",baby shake shake shake shake shake
758,"I shake it off, I shake it off",shake shake
759,"Shake it off, I shake it off",shake shake
760,"I, I, I shake it off, I shake it off",shake shake
761,"I, I, I shake it off, I shake it off",shake shake
762,"I, I, I shake it off, I shake it off",shake shake
763,"Shake it off, I shake it off",shake shake
764,"I, I, I shake it off, I shake it off",shake shake
765,"I, I, I shake it off, I shake it off",shake shake
766,"I, I, I shake it off, I shake it off (Yeah)",shake shake
767,"Shake it off, I shake it off",shake shake
768,"I, I, I shake it off, I shake it off (You got to)",shake shake
769,"I, I, I shake it off, I shake it off",shake shake
770,"I, I, I shake it off, I shake it off",shake shake
771,"'Cause baby, now we've got bad blood",baby bad blood
772,You know it used to be mad love,love
773,So take a look what you've done,
774,"'Cause baby, now we've got bad blood, hey!",baby bad blood
775,Now we've got problems,problems
776,And I don't think we can solve 'em,solve
777,You made a really deep cut,deep cut
778,"And baby, now we've got bad blood, hey!",baby bad blood
779,Did you have to do this?,
780,I was thinking that you could be trusted,thinking trusted
781,Did you have to ruin what was shiny?,ruin shiny
782,Now it's all rusted,rusted
783,Did you have to hit me where I'm weak?,weak
784,"Baby, I couldn't breathe",baby breathe
785,And rub it in so deep,rub deep
786,Salt in the wound like you're laughing right at me,salt wound laughing
787,"Oh, it's so sad to",sad
788,Think about the good times,good
789,You and I,
790,"'Cause baby, now we've got bad blood",baby bad blood
791,You know it used to be mad love,love
792,So take a look what you've done,
793,"'Cause baby, now we've got bad blood, hey!",baby bad blood
794,Now we've got problems,problems
795,And I don't think we can solve 'em,solve
796,You made a really deep cut,deep cut
797,"And baby, now we've got bad blood, hey!",baby bad blood
798,Did you think we'd be fine?,fine
799,Still got scars in my back from your knives,scars knives
800,So don't think it's in the past,
801,These kinds of wounds they last and they last,kinds wounds
802,"Now, did you think it all through?",
803,All these things will catch up to you,things catch
804,"And time can heal, but this won't",heal
805,So if you're coming my way,
806,Just don't,
807,"Oh, it's so sad to",sad
808,Think about the good times,good
809,You and I,
810,"'Cause baby, now we've got bad blood",baby bad blood
811,You know it used to be mad love,love
812,So take a look what you've done,
813,"'Cause baby, now we've got bad blood, hey!",baby bad blood
814,Now we've got problems,problems
815,And I don't think we can solve 'em,solve
816,You made a really deep cut,deep cut
817,"And baby, now we've got bad blood, hey!",baby bad blood
818,Band-aids don't fix bullet holes,bandaids bullet holes
819,You say sorry just for show,
820,"If you live like that, you live with ghosts",live live ghosts
821,Band-aids don't fix bullet holes,bandaids bullet holes
822,You say sorry just for show,
823,"If you live like that, you live with ghosts",live live ghosts
824,"If you love like that, blood runs cold!",love blood runs cold
825,"'Cause baby, now we've got bad blood",baby bad blood
826,You know it used to be mad love,love
827,So take a look what you've done,
828,"'Cause baby, now we've got bad blood, hey!",baby bad blood
829,Now we've got problems,problems
830,And I don't think we can solve 'em (Think we can solve 'em),solve solve
831,You made a really deep cut,deep cut
832,"And baby, now we've got bad blood, hey!",baby bad blood
833,"'Cause baby, now we've got bad blood",baby bad blood
834,You know it used to be mad love,love
835,So take a look what you've done (Look what you've done),
836,"'Cause baby, now we've got bad blood, hey!",baby bad blood
837,Now we've got problems,problems
838,And I don't think we can solve 'em,solve
839,You made a really deep cut,deep cut
840,"And baby, now we've got bad blood, hey!",baby bad blood
841,"Oh, oh, oh",
842,"Oh, oh, oh",
843,"Oh-oh, oh-oh",
844,Stand there like a ghost,stand ghost
845,"Shaking from the rain, rain",shaking rain rain
846,"She'll open up the door and say, ""Are you insane?""",open door insane
847,Say it's been a long six months,months
848,"And you were too afraid to tell her what you want, want",afraid
849,And that's how it works,works
850,That's how you get the girl,girl
851,"And then, you say",
852,I want you for worse or for better,worse
853,I would wait forever and ever,wait forever
854,"Broke your heart, I'll put it back together",broke heart
855,I would wait forever and ever,wait forever
856,And that's how it works,works
857,"That's how you get the girl, girl (Oh-oh, oh)",girl girl
858,And that's how it works,works
859,"That's how you get the girl, girl",girl girl
860,"Remind her how it used to be, be, yeah-yeah",remind yeahyeah
861,"With pictures in frames of kisses on cheeks, cheeks",pictures frames kisses cheeks cheeks
862,"Tell her how you must have lost your mind, ooh-ooh",lost mind
863,When you left her all alone,left
864,"And never told her why, why",told
865,And that's how it works,works
866,That's how you lost the girl,lost girl
867,"And now, you say",
868,I want you for worse or for better,worse
869,I would wait forever and ever (Ever and ever),wait forever
870,"Broke your heart, I'll put it back together",broke heart
871,I would wait forever and ever,wait forever
872,And that's how it works,works
873,"That's how you get the girl, girl (Oh-oh, oh-oh)",girl girl
874,And that's how it works,works
875,"That's how you get the girl, girl",girl girl
876,"Yeah, yeah",
877,And you know,
878,"Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh",
879,"That I don't want you to go, oh, oh",
880,Remind me how it used to be,remind
881,Pictures in frames of kisses on cheeks,pictures frames kisses cheeks
882,"And say you want me, yeah-yeah",yeahyeah
883,And then you say,
884,I want you for worse or for better (Worse or for better),worse worse
885,I would wait forever and ever (Ever and ever),wait forever
886,"Broke your heart, I'll put it back together",broke heart
887,I want you forever and ever (I would wait forever and ever),forever wait forever
888,And that's how it works,works
889,"That's how you get the girl, girl (This is how it works)",girl girl works
890,And that's how it works,works
891,"That's how you get the girl, girl (Get the girl)",girl girl girl
892,(That's how it works),works
893,And that's how it works,works
894,"That's how you get the girl, girl",girl girl
895,"(Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh)",
896,And that's how it works,works
897,"That's how you get the girl, girl",girl girl
898,"(Oh, oh, oh, oh, oh, oh, oh, oh, oh, oh)",
899,And that's how it works,works
900,That's how you got the girl,girl
901,"I, I, I, I, I, I, I, I-I",
902,"I, I, I, I, I, I, I, I-I",
903,"I, I, I, I, I, I, I, I-I (I, I, I, I)",
904,You stand with your hand on my waistline,stand waistline
905,It's a scene and we're out here in plain sight,scene plain sight
906,I can hear them whisper as we pass by,hear whisper pass
907,"It's a bad sign, bad sign",bad bad
908,Something happens when everybody finds out,finds
909,"See the vultures circling, dark clouds",vultures circling dark clouds
910,"Love's a fragile little flame, it could burn out",loves fragile flame burn
911,It could burn out,burn
912,"'Cause they got the cages, they got the boxes and guns",cages boxes guns
913,"They are the hunters, we are the foxes and we run",hunters foxes
914,"Baby, I know places we won't be found",baby places
915,And they'll be chasing their tails trying to track us down,chasing tails track
916,"'Cause I, I know places we can hide",places hide
917,"I know places, I know places",places places
918,Lights flash and we'll run for the fences,lights flash fences
919,"Let them say what they want, we won't hear it",hear
920,Loose lips sink ships all the damn time,loose lips sink ships damn
921,Not this time,
922,"Just grab my hand and don't ever drop it, my love",grab drop love
923,"They are the hunters, we are the foxes, and we run",hunters foxes
924,"Baby, I know places we won't be found",baby places
925,And they'll be chasing their tails trying to track us down,chasing tails track
926,"'Cause I, I know places we can hide",places hide
927,I know places,places
928,"They are the hunters, we are the foxes, and we run",hunters foxes
929,"Just grab my hand and don't ever drop it, my love",grab drop love
930,"Baby, I know places we won't be found",baby places
931,And they'll be chasing their tails trying to track us down,chasing tails track
932,"'Cause I, I know places we can hide",places hide
933,I know places,places
934,"They take their shots, but we're bulletproof (I know places)",shots bulletproof places
935,"And you know for me, it's always you (I know places)",places
936,"In the dead of night, your eyes so green (I know places)",dead night eyes green places
937,"And I know for you, it's always me (I know places)",places
938,"I, I, I, I, I, I, I, I-I",
939,"I, I, I, I, I, I, I, I-I",
940,Flashing lights and we,flashing lights
941,Took a wrong turn and we,wrong turn
942,Fell down a rabbit hole,fell rabbit
943,You held on tight to me,held tight
944,'Cause nothing's as it seems,nothings
945,And spinning out of control,spinning control
946,Didn't they tell us don't rush into things?,rush things
947,Didn't you flash your green eyes at me?,flash green eyes
948,Haven't you heard what becomes of curious minds?,heard curious minds
949,"Ooh, didn't it all seem new and exciting?",exciting
950,I felt your arms twistin' around me,felt arms twistin
951,I should have slept with one eye open at night,slept eye open night
952,We found Wonderland,wonderland
953,You and I got lost in it,lost
954,"And we pretended it could last forever (Eh, eh)",pretended forever
955,We found Wonderland,wonderland
956,You and I got lost in it,lost
957,"And life was never worse but never better (Eh, eh)",life worse
958,"(Eh, eh, eh, eh, eh)",
959,In Wonderland,wonderland
960,"(Eh, eh, eh, eh, eh)",
961,In Wonderland,wonderland
962,"(Eh, eh, eh, eh, eh)",
963,In Wonderland,wonderland
964,"(Eh, eh, eh, eh, eh)",
965,In Wonderland,wonderland
966,So we went on our way,
967,Too in love to think straight,love straight
968,"All alone, or so it seemed",
969,But there were strangers watching,strangers watching
970,And whispers turned to talking,whispers turned talking
971,"And talking turned to screams, oh",talking turned screams
972,Didn't they tell us don't rush into things?,rush things
973,Didn't you flash your green eyes at me?,flash green eyes
974,Didn't you calm my fears with a Cheshire cat smile?,calm fears cheshire smile
975,"Ooh, didn't it all seem new and exciting?",exciting
976,I felt your arms twistin' around me,felt arms twistin
977,It's all fun and games 'til somebody loses their mind,fun games loses mind
978,But darlin',darlin
979,We found Wonderland,wonderland
980,You and I got lost in it,lost
981,"And we pretended it could last forever (Eh, eh)",pretended forever
982,We found Wonderland,wonderland
983,You and I got lost in it,lost
984,"And life was never worse but never better (Eh, eh)",life worse
985,"(Eh, eh, eh, eh, eh)",
986,In Wonderland,wonderland
987,"(Eh, eh, eh, eh, eh)",
988,In Wonderland,wonderland
989,"(Eh, eh, eh, eh, eh)",
990,In Wonderland,wonderland
991,"(Eh, eh, eh, eh, eh)",
992,"Whoa, in Wonderland",wonderland
993,"I reached for you, but you were gone",reached
994,I knew I had to go back home,knew
995,You searched the world for something else,searched
996,To make you feel like what we had,feel
997,"And in the end, in Wonderland",wonderland
998,We both went mad,
999,Oh,
1000,We found Wonderland,wonderland
1001,You and I got lost in it,lost
1002,And we pretended it could last forever,pretended forever
1003,"Last forever (Eh, eh)",forever
1004,We found Wonderland,wonderland
1005,You and I got lost in it (Got lost in it),lost lost
1006,And life was never worse but never better,life worse
1007,"Never better (Eh, eh)",
1008,"(Eh, eh, eh, eh, eh)",
1009,We found Wonderland,wonderland
1010,You and I got lost in it,lost
1011,"(Eh, eh, eh, eh, eh)",
1012,And we pretended it could last forever (In Wonderland),pretended forever wonderland
1013,"(Eh, eh, eh, eh, eh)",
1014,We found Wonderland,wonderland
1015,You and I got lost in it,lost
1016,"(Eh, eh, eh, eh, eh)",
1017,And life was never worse but never better,life worse
1018,In Wonderland,wonderland
1019,When the morning came,morning
1020,We were cleaning incense off your vinyl shelf,cleaning incense vinyl shelf
1021,Cause we lost track of time again,lost track
1022,Laughing with my feet in your lap,laughing feet lap
1023,Like you were my closest friend,closest friend
1024,"How'd we end up on the floor, anyway? you say",howd floor
1025,"Your roommate's cheap-ass screw-top rosé, that's how",roommates cheapass screwtop rosé
1026,I see you every day now,day
1027,And I chose you,chose
1028,The one I was dancing with,dancing
1029,"In New York, no shoes",york shoes
1030,Looked up at the sky and it was,looked sky
1031,The burgundy on my t-shirt,burgundy tshirt
1032,When you splashed your wine into me,splashed wine
1033,And how the blood rushed into my cheeks,blood rushed cheeks
1034,"So scarlet, it was",scarlet
1035,The mark thеy saw on my collarbone,mark thеy collarbone
1036,The rust that grew bеtween telephones,rust grew bеtween telephones
1037,The lips I used to call home,lips
1038,"So scarlet, it was maroon",scarlet maroon
1039,When the silence came,silence
1040,"We were shaking, blind and hazy",shaking blind hazy
1041,How the hell did we lose sight of us again?,lose sight
1042,Sobbing with your head in your hands,sobbing head hands
1043,Ain't that the way shit always ends?,shit
1044,You were standing hollow-eyed in the hallway,standing holloweyed hallway
1045,"Carnations you had thought were roses, that's us",carnations thought roses
1046,"I feel you, no matter what",feel matter
1047,The rubies that I gave up,rubies
1048,And I lost you,lost
1049,The one I was dancing with,dancing
1050,"In New York, no shoes",york shoes
1051,Looked up at the sky and it was (Maroon),looked sky maroon
1052,The burgundy on my t-shirt,burgundy tshirt
1053,When you splashed your wine into me,splashed wine
1054,And how the blood rushed into my cheeks,blood rushed cheeks
1055,"So scarlet, it was (Maroon)",scarlet maroon
1056,The mark they saw on my collarbone,mark collarbone
1057,The rust that grew between telephones,rust grew telephones
1058,The lips I used to call home,lips
1059,"So scarlet, it was maroon",scarlet maroon
1060,And I wake with your memory over me,wake memory
1061,"That's a real fucking legacy, legacy (It was maroon)",fucking legacy legacy maroon
1062,And I wake with your memory over me,wake memory
1063,That's a real fucking legacy to leave,fucking legacy leave
1064,The burgundy on my t-shirt,burgundy tshirt
1065,When you splashed your wine into me,splashed wine
1066,And how the blood rushed into my cheeks,blood rushed cheeks
1067,"So scarlet, it was maroon",scarlet maroon
1068,The mark they saw on my collarbone,mark collarbone
1069,The rust that grew between telephones,rust grew telephones
1070,The lips I used to call home,lips
1071,"So scarlet, it was maroon",scarlet maroon
1072,It was maroon,maroon
1073,It was maroon,maroon
1074,"One night, a few moons ago",night moons ago
1075,I saw flecks of what could've been lights,flecks couldve lights
1076,But it might just have been you,
1077,Passing by unbeknownst to me,passing unbeknownst
1078,Life is emotionally abusive,life emotionally abusive
1079,And time can't stop me quite like you did,
1080,"And my flight was awful, thanks for asking",flight
1081,"I'm unglued, thanks to you",unglued
1082,And it's like snow at the beach,snow beach
1083,"Weird, but fucking beautiful",weird fucking beautiful
1084,Flying in a dream,flying dream
1085,Stars by the pocketful,stars pocketful
1086,You wanting me,wanting
1087,Tonight feels impossible,tonight feels impossible
1088,But it's coming down,
1089,"No sound, it's all around",sound
1090,Like snow on the beach,snow beach
1091,Like snow on the beach,snow beach
1092,Like snow on the beach,snow beach
1093,"Like snow, ah",snow
1094,This scene feels like what I once saw on a screen,scene feels screen
1095,"I searched ""aurora borealis green""",searched aurora borealis green
1096,I've never seen someone lit from within,
1097,Blurring out my periphery,blurring periphery
1098,My smile is like I won a contest,smile contest
1099,And to hide that would be so dishonest,hide dishonest
1100,And it's fine to fake it 'til you make it,fine fake
1101,"Til you do, 'til it's true",true
1102,Now it's like snow at the beach,snow beach
1103,"Weird, but fucking beautiful",weird fucking beautiful
1104,Flying in a dream,flying dream
1105,Stars by the pocketful,stars pocketful
1106,You wanting me,wanting
1107,Tonight feels impossible,tonight feels impossible
1108,But it's coming down,
1109,"No sound, it's all around",sound
1110,Like snow on the beach,snow beach
1111,Like snow on the beach,snow beach
1112,Like snow on the beach,snow beach
1113,"Like snow, ah",snow
1114,"I can't speak, afraid to jinx it",speak afraid jinx
1115,I don't even dare to wish it,dare
1116,But your eyes are flying saucers from another planet,eyes flying saucers planet
1117,Now I'm all for you like Janet,janet
1118,Can this be a real thing? Can it?,
1119,Are we falling like snow at the beach? (Snow at the beach),falling snow beach snow beach
1120,"Weird, but fucking beautiful",weird fucking beautiful
1121,Flying in a dream (Flying in a dream),flying dream flying dream
1122,Stars by the pocketful,stars pocketful
1123,You wanting me (You wanting me),wanting wanting
1124,Tonight feels impossible,tonight feels impossible
1125,But it's coming down,
1126,"No sound, it's all around",sound
1127,Like snow on the beach (Snow on the beach),snow beach snow beach
1128,Like snow on the beach (Snow on the beach),snow beach snow beach
1129,Like snow on the beach (Snow on the beach),snow beach snow beach
1130,"Like snow, ah",snow
1131,It's coming down,
1132,"No sound, it's all around",sound
1133,Like snow on the beach,snow beach
1134,"(It's coming down, it's coming down)",
1135,"(It's coming down, it's coming down)",
1136,Like snow on the beach,snow beach
1137,"(It's coming down, it's coming down)",
1138,"(It's coming down, it's coming down)",
1139,"(It's coming down, it's coming down)",
1140,"(It's coming down, it's coming down)",
1141,"(It's coming down, it's coming down)",
1142,"(It's coming down, it's coming down)",
1143,"Draw the cat eye, sharp enough to kill a man",draw eye sharp kill
1144,"You did some bad things, but I'm the worst of them",bad things worst
1145,Sometimes I wonder which one'll be your last lie,onell
1146,They say looks can kill and I might try,kill
1147,I don't dress for women,dress women
1148,I don't dress for men,dress men
1149,Lately I've been dressin' for revenge,dressin revenge
1150,"I don't start shit, but I can tell you how it ends",start shit
1151,"Don't get sad, get even",sad
1152,So on the weekends,weekends
1153,I don't dress for friends,dress friends
1154,Lately I've been dressin' for revenge,dressin revenge
1155,"She needed cold hard proof, so I gave her some",needed cold proof
1156,"She had the envelope, where you think she got it from?",envelope
1157,"Now she gets the house, gets the kids, gets the pride",house kids pride
1158,Picture me thick as thieves with your ex-wife,picture thick thieves exwife
1159,And she looks so pretty,pretty
1160,Drivin' in your Benz,drivin benz
1161,Lately she's been dressin' for revenge,dressin revenge
1162,"She don't start shit, but she can tell you how it ends",start shit
1163,"Don't get sad, get even",sad
1164,So on the weekends,weekends
1165,She don't dress for friends,dress friends
1166,Lately she's been dressing for revenge,dressing revenge
1167,Ladies always rise above,ladies
1168,Ladies know what people want,ladies people
1169,Someone sweet and kind and fun,sweet kind fun
1170,The lady simply had enough,lady simply
1171,"Well, he was doin' lines and crossin' all of mine",lines crossin mine
1172,Someone told his white collar crimes to the FBI,told white collar crimes fbi
1173,And I don't dress for villains,dress villains
1174,Or for innocents,innocents
1175,On my vigilante shit again,vigilante shit
1176,"I don't start shit, but I can tell you how it ends",start shit
1177,"Don't get sad, get even",sad
1178,So on the weekends,weekends
1179,I don't dress for friends,dress friends
1180,Lately I've been dressin' for revenge,dressin revenge
1181,We were supposed to be just friends,supposed friends
1182,"You don't live in my part of town, but maybe I'll see you out some weekend",live town weekend
1183,Depending on what kind of mood and situationship I'm in,depending kind mood situationship
1184,And what's in my system,system
1185,"I think there's been a glitch, oh, yeah",glitch
1186,"Five seconds later, I'm fastening myself to you with a stitch, oh, yeah",seconds fastening stitch
1187,"And I'm not even sorry, nights are so starry",nights starry
1188,Blood moonlit,blood moonlit
1189,It must be counterfeit,counterfeit
1190,"I think there's been a glitch, oh, yeah",glitch
1191,I was supposed to sweat you out,supposed sweat
1192,In search of glorious happenings of happenstance on someone else's playground,glorious happenings happenstance elses playground
1193,But it's been two-thousand one-hundred ninety days of our love blackout,twothousand onehundred days love blackout
1194,(Our love is blacking out),love blacking
1195,The system's breaking down,systems breaking
1196,(The system's breaking down),systems breaking
1197,"I think there's been a glitch, oh, yeah",glitch
1198,"Five seconds later, I'm fastening myself to you with a stitch, oh, yeah",seconds fastening stitch
1199,"And I'm not even sorry, nights are so starry",nights starry
1200,Blood moonlit,blood moonlit
1201,It must be counterfeit,counterfeit
1202,I think there's been a glitch,glitch
1203,"A brief interruption, a slight malfunction",interruption malfunction
1204,I'd go back to wanting dudes who give nothing,wanting dudes
1205,I thought we had no chance,thought chance
1206,"And that's romance, let's dance",romance
1207,"Glitch, oh, yeah",glitch
1208,"Five seconds later, I'm fastening myself to you with a stitch, oh, yeah",seconds fastening stitch
1209,"And I'm not even sorry, nights are so starry",nights starry
1210,Blood moonlit,blood moonlit
1211,It must be counterfeit (It must be counterfeit),counterfeit counterfeit
1212,I think there's been a glitch,glitch
1213,I wanna be your end game,game
1214,I wanna be your first string,string
1215,"I wanna be your A-Team (Whoa, whoa, whoa)",ateam
1216,"I wanna be your end game, end game",game game
1217,"Big reputation, big reputation",big reputation big reputation
1218,"Ooh, you and me, we got big reputations, ah",big reputations
1219,"And you heard about me, ooh",heard
1220,I got some big enemies (Yeah),big enemies
1221,"Big reputation, big reputation",big reputation big reputation
1222,"Ooh, you and me would be a big conversation, ah (Git, git)",big conversation git git
1223,"And I heard about you, ooh (Yeah)",heard
1224,"You like the bad ones, too",bad
1225,"You so dope, don't overdose, I’m so stoked, I need a toast",dope overdose stoked toast
1226,"We do the most, I'm in the Ghost like I'm whippin’ a boat",ghost whippin boat
1227,"I got a reputation, girl that don't precede me (Yeah)",reputation girl precede
1228,I'm one call away whenever you need me (Yeah),
1229,"I'm in a G5 (Yeah), come to the A-Side (Yeah)",g5
1230,"I got a bad boy persona, that's what they like (What they like)",bad boy persona
1231,"You love it, I love it too 'cause you my type (You my type)",love love type type
1232,You hold me down and I protect you with my life,hold protect life
1233,"I don't wanna touch you, I don't wanna be",touch
1234,Just another ex-love you don’t wanna see,exlove dont
1235,I don’t wanna miss you (I don't wanna miss you),dont
1236,Like the other girls do,girls
1237,"I don’t wanna hurt you, I just wanna be",dont hurt
1238,Drinking on a beach with you all over me,drinking beach
1239,I know what they all say (I know what they all say),
1240,But I ain't tryna play,tryna play
1241,I wanna be your end game (End game),game game
1242,I wanna be your first string (First string),string string
1243,I wanna be your A-Team (A-Team),ateam ateam
1244,"I wanna be your end game, end game",game game
1245,"Knew her when I was young, reconnected when we were little bit older",knew young reconnected bit older
1246,"Both sprung, I got issues and chips on both of my shoulders",sprung issues chips shoulders
1247,"Reputation precedes me, in rumors, I'm knee-deep",reputation precedes rumors kneedeep
1248,"The truth is, it's easier to ignore it, believe me",truth easier
1249,"Even when we’d argue, we'd not do it for long",argue
1250,And you understand the good and bad end up in the song,understand good bad song
1251,"For all your beautiful traits, and the way you do it with ease",beautiful traits
1252,"For all my flaws, paranoia, and insecurities",flaws paranoia insecurities
1253,"I've made mistakes and made some choices, that's hard to deny",mistakes choices deny
1254,"After the storm, something was born on the 4th of July",storm born 4th july
1255,"I've passed days without fun, this end game is the one",passed days fun game
1256,"With four words on the tip of my tongue, I'll never say it",tongue
1257,"I don't wanna touch you, I don't wanna be",touch
1258,Just another ex-love you don't wanna see,exlove
1259,I don't wanna miss you (I don't wanna miss you),
1260,Like the other girls do,girls
1261,"I don't wanna hurt you, I just wanna be",hurt
1262,Drinking on a beach with you all over me,drinking beach
1263,"I know what they all say, yeah",
1264,But I ain't tryna play,tryna play
1265,I wanna be your end game (End game),game game
1266,I wanna be your first string (Wanna be your first string),string string
1267,I wanna be your A-Team (A-Team),ateam ateam
1268,"I wanna be your end game, end game",game game
1269,"Big reputation, big reputation",big reputation big reputation
1270,"Ooh, you and me, we got big reputations, ah",big reputations
1271,"And you heard about me, ooh",heard
1272,I got some big enemies,big enemies
1273,"Hey, big reputation, big reputation",big reputation big reputation
1274,"Ooh, you and me would be a big conversation, ah",big conversation
1275,"And I heard about you, ooh",heard
1276,"You like the bad ones, too",bad
1277,"I hit you like bang, we tried to forget it, but we just couldn't",bang forget
1278,"And I bury hatchets, but I keep maps of where I put 'em",bury hatchets maps
1279,"Reputation precedes me, they told you I'm crazy",reputation precedes told crazy
1280,"I swear I don't love the drama, it loves me",swear love drama loves
1281,"And I can't let you go, your hand prints on my soul",prints soul
1282,"It's like your eyes are liquor, it's like your body is gold",eyes liquor gold
1283,You've been calling my bluff on all my usual tricks,calling bluff tricks
1284,So here's the truth from my red lips,truth lips
1285,I wanna be your end game (End game),game game
1286,"I wanna be your first string (Me and you, first string)",string string
1287,"I wanna be your A-Team (Be your A-Team now, A-Team)",ateam ateam ateam
1288,"I wanna be your end game, end game",game game
1289,"I wanna be your end game (Oh, I do)",game
1290,I wanna be your first string (First string),string string
1291,I wanna be your A-Team (A-Team),ateam ateam
1292,"I wanna be your end game, end game",game game
1293,I don't like your little games,games
1294,Don't like your tilted stage,tilted stage
1295,The role you made me play,role play
1296,"Of the fool, no, I don't like you",fool
1297,I don't like your perfect crime,perfect crime
1298,How you laugh when you lie,laugh
1299,You said the gun was mine,gun mine
1300,"Isn't cool, no, I don't like you (Oh)",cool
1301,"But I got smarter, I got harder in the nick of time",smarter harder nick
1302,"Honey, I rose up from the dead, I do it all the time",honey rose dead
1303,"I've got a list of names and yours is in red, underlined",list names underlined
1304,"I check it once, then I check it twice, oh!",check check
1305,"Ooh, look what you made me do",
1306,Look what you made me do,
1307,Look what you just made me do,
1308,Look what you just made me—,
1309,"Ooh, look what you made me do",
1310,Look what you made me do,
1311,Look what you just made me do,
1312,Look what you just made me do,
1313,I don't like your kingdom keys,kingdom keys
1314,They once belonged to me,belonged
1315,You asked me for a place to sleep,asked sleep
1316,Locked me out and threw a feast (What?),locked threw feast
1317,"The world moves on, another day, another drama, drama",moves day drama drama
1318,"But not for me, not for me, all I think about is karma",karma
1319,"And then the world moves on, but one thing's for sure",moves things
1320,"Maybe I got mine, but you'll all get yours",mine
1321,"But I got smarter, I got harder in the nick of time",smarter harder nick
1322,"Honey, I rose up from the dead, I do it all the time",honey rose dead
1323,"I've got a list of names and yours is in red, underlined",list names underlined
1324,"I check it once, then I check it twice, oh!",check check
1325,"Ooh, look what you made me do",
1326,Look what you made me do,
1327,Look what you just made me do,
1328,Look what you just made me—,
1329,"Ooh, look what you made me do",
1330,Look what you made me do,
1331,Look what you just made me do,
1332,Look what you just made me do,
1333,I don't trust nobody and nobody trusts me,trust trusts
1334,I'll be the actress starring in your bad dreams,actress starring bad dreams
1335,I don't trust nobody and nobody trusts me,trust trusts
1336,I'll be the actress starring in your bad dreams,actress starring bad dreams
1337,I don't trust nobody and nobody trusts me,trust trusts
1338,I'll be the actress starring in your bad dreams,actress starring bad dreams
1339,I don't trust nobody and nobody trusts me,trust trusts
1340,I'll be the actress starring in your bad dreams,actress starring bad dreams
1341,"(Ooh, look what you made me do",
1342,Look what you made me do,
1343,Look what you just made me do,
1344,Look what you just made me—,
1345,"Ooh, look what you made me do",
1346,Look what you made me do,
1347,Look what you just made me—),
1348,"""I'm sorry, the old Taylor can't come to the phone right now",taylor phone
1349,"""Why? Oh, 'cause she's dead!"" (Oh)",dead
1350,"Ooh, look what you made me do",
