,name,score
166,Our Song,-2.436111111111111
167,Breathe (Taylor’s Version),-2.698611111111111
168,this is me trying,-2.909722222222222
169,The Man,-2.9333333333333336
170,Blank Space,-3.0653030303030304
171,Tell Me Why (Taylor’s Version),-3.38968253968254
172,Cruel Summer,-3.451385281385282
173,End Game,-4.120833333333333
174,I Knew You Were Trouble,-4.510064935064936
175,betty,-4.6571428571428575
176,vigilante shit,-4.791666666666667
177,snow on the beach,-4.833333333333335
178,Picture To Burn,-5.481249999999999
179,Shake It Off,-5.489033189033189
180,mad woman,-6.9624999999999995
181,Mean,-7.64404761904762
182,Bad Blood,-12.937391774891772
